name,primary_market,categories,address,city,state,zip,phone,rating,reviews,claimed,verified,profile_strength,website,independent,services,description,source,source_updated,markets
Adam’s Apple Tree Service,Austin,Tree Service,"Austin, TX",Austin,TX,,512-912-8733,5.0,350,false,false,0,,,,Adam’s Apple Tree Service is a tree service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Southern Love Landscaping & Design,Austin,Landscaping,"111 Congress Ave Ste 400, Austin, TX 78701",Austin,TX,78701,512-402-6575,4.9,51,false,false,0,,,,Southern Love Landscaping & Design is a landscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
ATX Prestige Landscaping,Austin,Landscaping,"Austin, TX",Austin,TX,,512-749-8853,4.9,215,false,false,0,,,,ATX Prestige Landscaping is a landscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Alvaro’s Landscaping and Tree Service,Austin,Landscaping,"Austin, TX",Austin,TX,,512-770-3399,5.0,238,false,false,0,,,,Alvaro’s Landscaping and Tree Service is a landscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Cutters Landscaping,Austin,Landscaping,"9600 Great Hills Trl Suite 150W, Austin, TX 78759",Austin,TX,78759,512-560-1968,5.0,149,false,false,0,,,,Cutters Landscaping is a landscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Good Neighbor Lawn Care,Austin,Landscaping,"Austin, TX",Austin,TX,,512-900-8405,4.9,203,false,false,0,,,,Good Neighbor Lawn Care is a landscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
RcTex Pavers,Austin,Hardscaping,"460 Bastrop Hwy #815, Austin, TX 78741",Austin,TX,78741,737-704-1473,5.0,5,false,false,0,,,,RcTex Pavers is a hardscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Allied Outdoor Solutions,Austin,Hardscaping,"317 Ranch Rd 620 S #302C, Lakeway, TX 78734",Lakeway,TX,78734,512-835-6100,4.6,188,false,false,0,,,,Allied Outdoor Solutions is a hardscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
J&L Hardscapes LLC,Austin,Hardscaping,"Austin, TX",Austin,TX,,276-250-9592,5.0,40,false,false,0,,,,J&L Hardscapes LLC is a hardscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
System Pavers - Austin,Austin,Hardscaping,"10900 Stonelake Blvd Bld 2 Suite 100, Austin, TX 78759",Austin,TX,78759,512-655-2667,4.5,83,false,false,0,,,,System Pavers - Austin is a hardscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Lighthouse Concrete and Landscape,Austin,Hardscaping,"Austin, TX 78747",Austin,TX,78747,512-784-7803,4.9,43,false,false,0,,,,Lighthouse Concrete and Landscape is a hardscaping company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Swept Up Cleaning Co.,Austin,House Cleaning,"111 Congress Ave Ste 461A, Austin, TX 78701",Austin,TX,78701,512-706-9717,4.1,14,false,false,0,,,,Swept Up Cleaning Co. is a house cleaning company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Austin Cleaning Service,Austin,House Cleaning,"500 W 2nd St Ste 110, Austin, TX 78701",Austin,TX,78701,737-787-5567,5.0,429,false,false,0,,,,Austin Cleaning Service is a house cleaning company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
DF CLEANING LLC,Austin,House Cleaning,"1719 Adina St, Austin, TX 78721",Austin,TX,78721,832-515-9614,5.0,678,false,false,0,,,,DF CLEANING LLC is a house cleaning company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Austin Skyline Cleaning Services,Austin,House Cleaning,"8830 Business Park Dr Ste 200B, Austin, TX 78759",Austin,TX,78759,512-222-3553,5.0,1,false,false,0,,,,Austin Skyline Cleaning Services is a house cleaning company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Austin Cleaning Crew,Austin,House Cleaning,"3001 Cherrywood Rd, Austin, TX 78722",Austin,TX,78722,512-256-0490,4.9,348,false,false,0,,,,Austin Cleaning Crew is a house cleaning company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Mr. Handyman of South Austin/Lakeway,Austin,Handyman,"7509 Menchaca Rd Unit 104, Austin, TX 78745",Austin,TX,78745,512-456-3443,4.5,92,false,false,0,,,,Mr. Handyman of South Austin/Lakeway is a handyman company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
South Austin Handyman,Austin,Handyman,"Austin, TX",Austin,TX,,512-299-7995,5.0,103,false,false,0,,,,South Austin Handyman is a handyman company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Ace Handyman Services West Austin,Austin,Handyman,"201 Ranch Rd 620 S Ste A, Lakeway, TX 78734",Lakeway,TX,78734,512-366-3142,4.2,20,false,false,0,,,,Ace Handyman Services West Austin is a handyman company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Fixitrocket LLC Home Repair Service,Austin,Handyman,"10320 Boulder Ln, Austin, TX 78726",Austin,TX,78726,773-322-2166,5.0,14,false,false,0,,,,Fixitrocket LLC Home Repair Service is a handyman company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
VZ Tech PRO Appliance repair & Handyman services,Austin,Handyman,"1907 E 2nd St, Austin, TX 78702",Austin,TX,78702,737-342-0072,5.0,188,false,false,0,,,,VZ Tech PRO Appliance repair & Handyman services is a handyman company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
1-800-JunkPro Austin,Austin,Dumpster Rental,"8602 Lava Hill Rd, Austin, TX 78744",Austin,TX,78744,512-717-4330,5.0,1240,false,false,0,,,,1-800-JunkPro Austin is a dumpster rental company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Grime Time Dumpster Rentals - Austin,Austin,Dumpster Rental,"4812 N I-35 Ste B, Austin, TX 78751",Austin,TX,78751,512-387-5802,3.9,19,false,false,0,,,,Grime Time Dumpster Rentals - Austin is a dumpster rental company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
VaVia Dumpster Rental Austin,Austin,Dumpster Rental,"1314 Arcadia Ave, Austin, TX 78757",Austin,TX,78757,512-368-3302,5.0,169,false,false,0,,,,VaVia Dumpster Rental Austin is a dumpster rental company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
"BinDumped, LLC",Austin,Dumpster Rental,"13825 FM 2769, Austin, TX 78726",Austin,TX,78726,512-690-4999,4.9,234,false,false,0,,,,"BinDumped, LLC is a dumpster rental company included in Texas Rated coverage for the Austin market.",Public business listing snapshot,2026-08-28,Austin
Bin There Dump That Dumpster Rental Austin,Austin,Dumpster Rental,"9906 FM812, Austin, TX 78719",Austin,TX,78719,512-598-4770,5.0,136,false,false,0,,,,Bin There Dump That Dumpster Rental Austin is a dumpster rental company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
1-800-GOT-JUNK? Austin,Austin,Junk Removal,"Austin, TX",Austin,TX,,512-287-7996,5.0,8842,false,false,0,,,,1-800-GOT-JUNK? Austin is a junk removal company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Junk King Austin,Austin,Junk Removal,"600 W 28th St #105, Austin, TX 78705",Austin,TX,78705,512-994-2250,4.0,83,false,false,0,,,,Junk King Austin is a junk removal company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
ATX Junk-a-Haulics,Austin,Junk Removal,"2501 Gardenia Dr, Austin, TX 78727",Austin,TX,78727,512-350-3830,5.0,361,false,false,0,,,,ATX Junk-a-Haulics is a junk removal company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
ATX Junk Bros,Austin,Junk Removal,"2716 Sweeney Ln, Austin, TX 78723",Austin,TX,78723,512-369-9086,4.9,63,false,false,0,,,,ATX Junk Bros is a junk removal company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
The Junkluggers of Austin,Austin,Junk Removal,"9709 Brown Ln Ste A, Austin, TX 78754",Austin,TX,78754,512-577-2902,4.8,47,false,false,0,,,,The Junkluggers of Austin is a junk removal company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
X Out Pest Services - Austin,Austin,Pest Control,"501 Congress Ave Ste 150-237, Austin, TX 78701",Austin,TX,78701,512-271-5656,4.9,141,false,false,0,,,,X Out Pest Services - Austin is a pest control company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
ClearDefense Pest Control,Austin,Pest Control,"8906 Wall St Ste 407, Austin, TX 78754",Austin,TX,78754,737-284-2284,4.9,35,false,false,0,,,,ClearDefense Pest Control is a pest control company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Berrett Pest Control - Austin,Austin,Pest Control,"5214 Burleson Rd Ste 115, Austin, TX 78744",Austin,TX,78744,512-879-6140,4.1,229,false,false,0,,,,Berrett Pest Control - Austin is a pest control company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Absolute Pest Management,Austin,Pest Control,"8708 S Congress Ave, Austin, TX 78745",Austin,TX,78745,737-343-9566,4.1,116,false,false,0,,,,Absolute Pest Management is a pest control company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Chem-free Organic Pest & Lawn Services,Austin,Pest Control,"9475 US-290, Austin, TX 78724",Austin,TX,78724,512-837-9681,3.8,91,false,false,0,,,,Chem-free Organic Pest & Lawn Services is a pest control company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Precision Garage Door of Austin,Austin,Garage Door,"1300 Smith Rd #105, Austin, TX 78721",Austin,TX,78721,737-212-9367,4.2,243,false,false,0,,,,Precision Garage Door of Austin is a garage door company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Austin Garage Door Solutions Same Day Service Garage Door Repair,Austin,Garage Door,"6511 Sunstrip Dr, Austin, TX 78745",Austin,TX,78745,512-709-3704,5.0,412,false,false,0,,,,Austin Garage Door Solutions Same Day Service Garage Door Repair is a garage door company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Century Garage Door Repair Service,Austin,Garage Door,"4505 Terry-O Ln suite A102, Austin, TX 78745",Austin,TX,78745,737-316-0572,5.0,405,false,false,0,,,,Century Garage Door Repair Service is a garage door company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Garage Door Repair Austin By A-American Overhead Doors,Austin,Garage Door,"Austin, TX",Austin,TX,,512-947-3294,5.0,316,false,false,0,,,,Garage Door Repair Austin By A-American Overhead Doors is a garage door company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Gator Garage Doors,Austin,Garage Door,"11701 Bee Caves Rd Ste 212, Bee Cave, TX 78738",Austin,TX,78738,512-333-4542,5.0,551,false,false,0,,,,Gator Garage Doors is a garage door company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Tex Painting,Austin,Painting,"1212 Guadalupe St, Austin, TX 78701",Austin,TX,78701,512-898-7649,4.9,438,false,false,0,,,,Tex Painting is a painting company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
"21st Century Painting, Roofing, & Siding of Austin",Austin,Painting,"9811-A Beck Cir, Austin, TX 78758",Austin,TX,78758,512-219-0342,4.8,150,false,false,0,,,,"21st Century Painting, Roofing, & Siding of Austin is a painting company included in Texas Rated coverage for the Austin market.",Public business listing snapshot,2026-08-28,Austin|North Austin
Color Stars Painting LLC,Austin,Painting,"Austin, TX",Austin,TX,,512-815-0310,5.0,249,false,false,0,,,,Color Stars Painting LLC is a painting company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Vivax Pros,Austin,Painting,"1804 Ulit Ave, Austin, TX 78702",Austin,TX,78702,512-668-9443,4.7,162,false,false,0,,,,Vivax Pros is a painting company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
"CertaPro Painters of Austin, TX",Austin,Painting,"12444 Research Blvd, Austin, TX 78759",Austin,TX,78759,512-323-9502,4.2,102,false,false,0,,,,"CertaPro Painters of Austin, TX is a painting company included in Texas Rated coverage for the Austin market.",Public business listing snapshot,2026-08-28,Austin|North Austin
PhD Pool Care,Austin,Pool Service,"Austin, TX",Austin,TX,,512-945-2121,5.0,229,false,false,0,,,,PhD Pool Care is a pool service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Prime Pool Service,Austin,Pool Service,"12014 N Lamar Blvd, Austin, TX 78753",Austin,TX,78753,512-441-3473,4.7,586,false,false,0,,,,Prime Pool Service is a pool service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
American Spa And Pool Service,Austin,Pool Service,"15011 Texas St, Austin, TX 78734",Austin,TX,78734,512-293-7831,4.6,58,false,false,0,,,,American Spa And Pool Service is a pool service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Aqua Clear Pool Care,Austin,Pool Service,"2800 S I-35 Frontage Rd Ste 200, Austin, TX 78704",Austin,TX,78704,512-658-3922,4.6,30,false,false,0,,,,Aqua Clear Pool Care is a pool service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Patriot Pool & Spa,Austin,Pool Service,"1912 Bench Mark Dr, Austin, TX 78728",Austin,TX,78728,512-601-6960,4.6,129,false,false,0,,,,Patriot Pool & Spa is a pool service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Limestone Moving Co.,Austin,Moving,"4111 Todd Ln, Austin, TX 78744",Austin,TX,78744,512-280-4696,4.7,35,false,false,0,,,,Limestone Moving Co. is a moving company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Einstein Moving Company - Austin,Austin,Moving,"9200 Brown Ln A, Austin, TX 78754",Austin,TX,78754,737-377-5181,4.8,674,false,false,0,,,,Einstein Moving Company - Austin is a moving company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
MoverTron Moving,Austin,Moving,"3432 Greystone Dr Ste 126, Austin, TX 78731",Austin,TX,78731,512-553-1153,5.0,1033,false,false,0,,,,MoverTron Moving is a moving company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Einstein Moving Company - South Austin,Austin,Moving,"4315 Terry-O Ln, Austin, TX 78745",Austin,TX,78745,737-239-8072,4.8,268,false,false,0,,,,Einstein Moving Company - South Austin is a moving company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Square Cow Movers,Austin,Moving,"4005 Warehouse Row, Austin, TX 78704",Austin,TX,78704,512-501-2430,4.9,1316,false,false,0,,,,Square Cow Movers is a moving company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Damiani’s Comfort Design,San Antonio,HVAC,"626 Isom Rd, San Antonio, TX 78216",San Antonio,TX,78216,210-646-9600,5.0,741,false,false,0,,,,Damiani’s Comfort Design is a hvac company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
ASC Heating & Air Conditioning,San Antonio,HVAC,"410 W Rhapsody Dr Ste C, San Antonio, TX 78216",San Antonio,TX,78216,210-761-5033,4.9,547,false,false,0,,,,ASC Heating & Air Conditioning is a hvac company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Blue Dot Air Conditioning & Heating,San Antonio,HVAC,"1219 W Blanco Rd, San Antonio, TX 78232",San Antonio,TX,78232,210-364-8200,5.0,7,false,false,0,,,,Blue Dot Air Conditioning & Heating is a hvac company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Zero Heating AC & Refrigeration,San Antonio,HVAC,"114 Park Plaza, San Antonio, TX 78237",San Antonio,TX,78237,210-900-0824,4.9,745,false,false,0,,,,Zero Heating AC & Refrigeration is a hvac company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Wilks Air Conditioning & Heating,San Antonio,HVAC,"139 Waleetka St, San Antonio, TX 78210",San Antonio,TX,78210,210-534-9911,4.5,44,false,false,0,,,,Wilks Air Conditioning & Heating is a hvac company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
PlumbSmart,San Antonio,Plumbing,"1233 Safari, San Antonio, TX 78216",San Antonio,TX,78216,210-810-0810,5.0,20,false,false,0,,,,PlumbSmart is a plumbing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
The Bearded Plumber,San Antonio,Plumbing,"San Antonio, TX 78210",San Antonio,TX,78210,210-906-4366,5.0,17,false,false,0,,,,The Bearded Plumber is a plumbing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Chambliss Plumbing Company,San Antonio,Plumbing,"1875 E Borgfeld Dr, San Antonio, TX 78260",San Antonio,TX,78260,210-802-2439,4.7,57,false,false,0,,,,Chambliss Plumbing Company is a plumbing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Mr. Plumber Plumbing Co.,San Antonio,Plumbing,"21750 Hardy Oak Blvd Ste 9, San Antonio, TX 78258",San Antonio,TX,78258,210-684-7010,4.8,1848,false,false,0,,,,Mr. Plumber Plumbing Co. is a plumbing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
"Big City Plumbing, LLC",San Antonio,Plumbing,"4274 GateCrest, San Antonio, TX 78217",San Antonio,TX,78217,210-499-1010,4.7,80,false,false,0,,,,"Big City Plumbing, LLC is a plumbing company included in Texas Rated coverage for the San Antonio market.",Public business listing snapshot,2026-08-28,San Antonio
Safepro Roofing,San Antonio,Roofing,"114 N Ellison Dr #403, San Antonio, TX 78251",San Antonio,TX,78251,210-485-5308,5.0,1,false,false,0,,,,Safepro Roofing is a roofing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Bondoc Roofing,San Antonio,Roofing,"10127 Morocco St #195, San Antonio, TX 78216",San Antonio,TX,78216,210-796-1096,4.1,18,false,false,0,,,,Bondoc Roofing is a roofing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Blues Crews,San Antonio,Roofing,"18911 Hardy Oak Blvd Ste 101, San Antonio, TX 78258",San Antonio,TX,78258,830-360-2583,5.0,427,false,false,0,,,,Blues Crews is a roofing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Presidio Roofing Company of San Antonio,San Antonio,Roofing,"414 W Nakoma St, San Antonio, TX 78216",San Antonio,TX,78216,210-920-7906,5.0,328,false,false,0,,,,Presidio Roofing Company of San Antonio is a roofing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Shield Roofing,San Antonio,Roofing,"21750 Hardy Oak Blvd Ste 102-110, San Antonio, TX 78258",San Antonio,TX,78258,210-348-3680,5.0,328,false,false,0,,,,Shield Roofing is a roofing company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Allgood Electric,San Antonio,Electrical,"12106 Valliant St, San Antonio, TX 78216",San Antonio,TX,78216,210-255-4663,4.6,88,false,false,0,,,,Allgood Electric is a electrical company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Jireh Electric,San Antonio,Electrical,"515 E Dickson Ave, San Antonio, TX 78214",San Antonio,TX,78214,210-771-0028,4.9,565,false,false,0,,,,Jireh Electric is a electrical company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Mister Sparky,San Antonio,Electrical,"12829 Wetmore Rd, San Antonio, TX 78247",San Antonio,TX,78247,210-899-2430,3.7,57,false,false,0,,,,Mister Sparky is a electrical company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
"4A Electrical Services, LLC",San Antonio,Electrical,"9207 Jiggitty Dr, San Antonio, TX 78254",San Antonio,TX,78254,210-621-8687,5.0,351,false,false,0,,,,"4A Electrical Services, LLC is a electrical company included in Texas Rated coverage for the San Antonio market.",Public business listing snapshot,2026-08-28,San Antonio
