date,slug,name,score,rating,reviews
2026-08-28,south-austin-handyman-austin,South Austin Handyman,88.3,5.0,103
2026-08-28,ace-handyman-services-west-austin-lakeway,Ace Handyman Services West Austin,77.7,4.2,20
2026-08-28,fixitrocket-llc-home-repair-service-austin,Fixitrocket LLC Home Repair Service,81.0,5.0,14
2026-08-28,vz-tech-pro-appliance-repair-handyman-services-austin,VZ Tech PRO Appliance repair & Handyman services,90.1,5.0,188
2026-08-28,1-800-junkpro-austin-austin,1-800-JunkPro Austin,94.1,5.0,1240
2026-08-28,grime-time-dumpster-rentals-austin-austin,Grime Time Dumpster Rentals - Austin,76.0,3.9,19
2026-08-28,vavia-dumpster-rental-austin-austin,VaVia Dumpster Rental Austin,89.8,5.0,169
2026-08-28,bindumped-llc-austin,"BinDumped, LLC",89.2,4.9,234
2026-08-28,bin-there-dump-that-dumpster-rental-austin-austin,Bin There Dump That Dumpster Rental Austin,89.2,5.0,136
2026-08-28,1-800-got-junk-austin-austin,1-800-GOT-JUNK? Austin,95.0,5.0,8842
2026-08-28,junk-king-austin-austin,Junk King Austin,76.0,4.0,83
2026-08-28,atx-junk-a-haulics-austin,ATX Junk-a-Haulics,91.7,5.0,361
2026-08-28,atx-junk-bros-austin,ATX Junk Bros,85.5,4.9,63
2026-08-28,the-junkluggers-of-austin-austin,The Junkluggers of Austin,83.6,4.8,47
2026-08-28,x-out-pest-services-austin-austin,X Out Pest Services - Austin,87.9,4.9,141
2026-08-28,cleardefense-pest-control-austin,ClearDefense Pest Control,83.5,4.9,35
2026-08-28,berrett-pest-control-austin-austin,Berrett Pest Control - Austin,77.6,4.1,229
2026-08-28,absolute-pest-management-austin,Absolute Pest Management,77.3,4.1,116
2026-08-28,chem-free-organic-pest-lawn-services-austin,Chem-free Organic Pest & Lawn Services,73.7,3.8,91
2026-08-28,precision-garage-door-of-austin-austin,Precision Garage Door of Austin,79.1,4.2,243
2026-08-28,austin-garage-door-solutions-same-day-service-garage-door-repair-austin,Austin Garage Door Solutions Same Day Service Garage Door Repair,92.0,5.0,412
2026-08-28,century-garage-door-repair-service-austin,Century Garage Door Repair Service,92.0,5.0,405
2026-08-28,garage-door-repair-austin-by-a-american-overhead-doors-austin,Garage Door Repair Austin By A-American Overhead Doors,91.4,5.0,316
2026-08-28,gator-garage-doors-austin,Gator Garage Doors,92.6,5.0,551
2026-08-28,tex-painting-austin,Tex Painting,90.6,4.9,438
2026-08-28,21st-century-painting-roofing-siding-of-austin-austin,"21st Century Painting, Roofing, & Siding of Austin",86.8,4.8,150
2026-08-28,color-stars-painting-llc-austin,Color Stars Painting LLC,90.9,5.0,249
2026-08-28,vivax-pros-austin,Vivax Pros,85.6,4.7,162
2026-08-28,certapro-painters-of-austin-tx-austin,"CertaPro Painters of Austin, TX",78.5,4.2,102
2026-08-28,phd-pool-care-austin,PhD Pool Care,90.6,5.0,229
2026-08-28,prime-pool-service-austin,Prime Pool Service,88.0,4.7,586
2026-08-28,american-spa-and-pool-service-austin,American Spa And Pool Service,82.2,4.6,58
2026-08-28,aqua-clear-pool-care-austin,Aqua Clear Pool Care,80.8,4.6,30
2026-08-28,patriot-pool-spa-austin,Patriot Pool & Spa,83.8,4.6,129
2026-08-28,limestone-moving-co-austin,Limestone Moving Co.,81.9,4.7,35
2026-08-28,einstein-moving-company-austin-austin,Einstein Moving Company - Austin,89.8,4.8,674
2026-08-28,movertron-moving-austin,MoverTron Moving,93.8,5.0,1033
2026-08-28,einstein-moving-company-south-austin-austin,Einstein Moving Company - South Austin,88.1,4.8,268
2026-08-28,square-cow-movers-austin,Square Cow Movers,92.5,4.9,1316
2026-08-28,damiani-s-comfort-design-san-antonio,Damiani’s Comfort Design,93.2,5.0,741
2026-08-28,asc-heating-air-conditioning-san-antonio,ASC Heating & Air Conditioning,91.0,4.9,547
2026-08-28,blue-dot-air-conditioning-heating-san-antonio,Blue Dot Air Conditioning & Heating,79.1,5.0,7
2026-08-28,zero-heating-ac-refrigeration-san-antonio,Zero Heating AC & Refrigeration,91.6,4.9,745
2026-08-28,wilks-air-conditioning-heating-san-antonio,Wilks Air Conditioning & Heating,80.7,4.5,44
2026-08-28,plumbsmart-san-antonio,PlumbSmart,82.2,5.0,20
2026-08-28,the-bearded-plumber-san-antonio,The Bearded Plumber,81.6,5.0,17
2026-08-28,chambliss-plumbing-company-san-antonio,Chambliss Plumbing Company,83.1,4.7,57
2026-08-28,mr-plumber-plumbing-co-san-antonio,Mr. Plumber Plumbing Co.,91.4,4.8,1848
2026-08-28,big-city-plumbing-llc-san-antonio,"Big City Plumbing, LLC",84.0,4.7,80
2026-08-28,safepro-roofing-san-antonio,Safepro Roofing,76.0,5.0,1
2026-08-28,bondoc-roofing-san-antonio,Bondoc Roofing,77.1,4.1,18
2026-08-28,blues-crews-san-antonio,Blues Crews,92.1,5.0,427
2026-08-28,presidio-roofing-company-of-san-antonio-san-antonio,Presidio Roofing Company of San Antonio,91.5,5.0,328
2026-08-28,shield-roofing-san-antonio,Shield Roofing,91.5,5.0,328
2026-08-28,allgood-electric-san-antonio,Allgood Electric,83.0,4.6,88
2026-08-28,jireh-electric-san-antonio,Jireh Electric,91.1,4.9,565
2026-08-28,mister-sparky-san-antonio,Mister Sparky,73.1,3.7,57
2026-08-28,4a-electrical-services-llc-san-antonio,"4A Electrical Services, LLC",91.7,5.0,351
2026-08-28,mr-electric-of-san-antonio-san-antonio,Mr. Electric of San Antonio,65.7,3.0,63
2026-08-28,s-a-total-tree-service-san-antonio,S.A. Total Tree Service,93.8,5.0,1041
2026-08-28,3-monkeys-tree-service-san-antonio,3 Monkeys Tree Service,91.0,4.9,543
2026-08-28,action-tree-service-llc-san-antonio,"Action Tree Service, LLC",90.3,4.9,378
2026-08-28,texas-sun-tree-services-san-antonio,Texas Sun Tree Services,90.0,4.9,332
2026-08-28,mission-city-arbor-group-san-antonio,Mission City Arbor Group,82.7,4.8,35
2026-08-28,hole-in-one-lawns-san-antonio,Hole In One Lawns,89.1,5.0,134
2026-08-28,canopy-land-solutions-san-antonio,Canopy Land Solutions,88.6,4.9,183
2026-08-28,llb-landscaping-san-antonio,LLB Landscaping,88.3,5.0,104
2026-08-28,lawn-d-r-landscaping-and-irrigation-llc-san-antonio,LAWN D.R LANDSCAPING AND IRRIGATION LLC,87.5,4.9,119
2026-08-28,grounded-landscaping-san-antonio,Grounded Landscaping,86.5,4.9,88
2026-08-28,system-pavers-san-antonio-san-antonio,System Pavers - San Antonio,83.8,4.8,50
2026-08-28,sanchez-masonry-san-antonio,Sanchez Masonry,85.0,4.9,54
2026-08-28,vhs-outdoor-living-san-antonio,VHS Outdoor Living,78.3,4.5,10
2026-08-28,grenstone-landscaping-masonry-llc-san-antonio,Grenstone Landscaping & Masonry LLC,85.0,5.0,42
2026-08-28,zion-landscape-co-san-antonio,Zion Landscape Co.,86.5,5.0,63
2026-08-28,ocd-cleaners-house-cleaning-service-san-antonio-san-antonio,OCD Cleaners - House Cleaning Service San Antonio,92.2,4.9,1103
2026-08-28,maids-on-a-mission-san-antonio,Maids on a Mission,79.7,4.8,12
2026-08-28,sparkly-maid-san-antonio-cleaning-services-san-antonio,Sparkly Maid San Antonio Cleaning Services,90.1,4.9,339
2026-08-28,bb-z-housekeeping-llc-san-antonio,BB'z Housekeeping LLC,91.0,5.0,260
2026-08-28,mom-needs-a-break-cleaning-san-antonio,Mom Needs A Break Cleaning,88.8,4.8,393
2026-08-28,ace-handyman-services-san-antonio-san-antonio,Ace Handyman Services San Antonio,89.3,4.8,516
2026-08-28,pjp-handyman-san-antonio-tx-san-antonio,PJP HANDYMAN San Antonio tx,89.7,4.9,283
2026-08-28,handy-squad-home-services-inc-san-antonio,"Handy Squad Home Services, Inc",74.4,3.4,11
2026-08-28,fix-it-freddy-san-antonio,Fix-It-Freddy,85.3,4.9,60
2026-08-28,samuel-s-handyman-service-llc-san-antonio,Samuel's Handyman Service LLC,87.8,4.9,133
2026-08-28,bin-there-dump-that-san-antonio-dumpster-rental-san-antonio,Bin There Dump That- San Antonio Dumpster Rental,73.9,3.3,12
2026-08-28,all-pro-junk-demolition-dumpster-rentals-san-antonio,All Pro Junk Demolition & Dumpster Rentals,89.7,4.9,283
2026-08-28,vavia-san-antonio-san-antonio,VaVia San Antonio,89.3,5.0,142
2026-08-28,vavia-easy-go-boerne,VaVia Easy Go,76.7,5.0,2
2026-08-28,bin-there-dump-that-san-antonio-san-antonio,Bin There Dump That San Antonio,73.9,3.3,12
2026-08-28,1-800-got-junk-san-antonio-san-antonio,1-800-GOT-JUNK? San Antonio,94.9,5.0,5479
2026-08-28,junk-king-san-antonio-san-antonio,Junk King San Antonio,81.8,4.5,86
2026-08-28,junkstart-junk-removal-san-antonio,JunkStart Junk Removal,79.1,5.0,7
2026-08-28,210-junk-removal-san-antonio,210 Junk Removal,92.7,5.0,566
2026-08-28,x-out-pest-services-san-antonio-san-antonio,X Out Pest Services - San Antonio,89.2,4.9,233
2026-08-28,berrett-pest-control-san-antonio-san-antonio,Berrett Pest Control - San Antonio,93.2,4.9,4436
2026-08-28,cerv-property-solutions-san-antonio-san-antonio,Cerv Property Solutions San Antonio,94.4,5.0,1543
2026-08-28,stride-pest-control-san-antonio,Stride Pest Control,79.8,4.7,15
2026-08-28,magna-pest-solutions-cerv-property-solutions-san-antonio,Magna Pest Solutions / Cerv Property Solutions,94.4,5.0,1543
2026-08-28,hollywood-crawford-garage-doors-and-openers-san-antonio,Hollywood-Crawford Garage Doors and Openers,84.2,4.7,87
2026-08-28,garage-door-specialists-san-antonio,Garage Door Specialists,82.7,5.0,23
2026-08-28,garage-door-masters-san-antonio,Garage Door Masters,80.5,4.8,16
2026-08-28,garage-door-repair-co-san-antonio,Garage Door Repair Co.,92.8,5.0,603
2026-08-28,r-l-overhead-door-inc-san-antonio,R&L Overhead Door Inc,76.7,5.0,2
2026-08-28,river-city-painting-san-antonio,River City Painting,77.8,5.0,4
2026-08-28,that-1-painter-san-antonio-san-antonio,That 1 Painter San Antonio,80.5,4.7,20
2026-08-28,magna-painting-san-antonio,Magna Painting,89.3,4.9,239
2026-08-28,paper-moon-painting-san-antonio,Paper Moon Painting,79.2,4.4,28
2026-08-28,paint-masters-of-texas-san-antonio,Paint Masters of Texas,79.8,4.6,19
2026-08-28,poolie-san-antonio,Poolie,88.5,4.7,828
2026-08-28,davis-pools-san-antonio,Davis Pools,91.0,5.0,264
2026-08-28,blue-science-san-antonio,Blue Science,85.4,4.6,309
2026-08-28,gary-pools-san-antonio,Gary Pools,86.8,4.6,764
2026-08-28,san-antonio-local-pool-maintenance-san-antonio,San Antonio Local Pool Maintenance,86.8,4.9,94
2026-08-28,veteran-s-best-movers-san-antonio,Veteran's Best Movers,93.9,5.0,1143
2026-08-28,einstein-moving-company-san-antonio-san-antonio,Einstein Moving Company - San Antonio,87.7,4.8,226
2026-08-28,trailblazer-moving-san-antonio,Trailblazer Moving,91.7,4.9,810
2026-08-28,get-it-done-moving-schertz,Get It Done Moving,92.9,5.0,630
2026-08-28,veteran-s-best-movers-hillpoint-san-antonio,Veteran's Best Movers - Hillpoint,84.3,4.8,61
